--1. Top 10 bottleneck zones,,,,,
zone,total_work_minutes,order_count,avg_work_minutes,,
11/27/2025,ATTA,231.1666667,302.0833333,-70.91666667,
11/28/2025,ATTA,309.6666667,231.1666667,78.5,
11/29/2025,ATTA,229.9166667,309.6666667,-79.75,
11/30/2025,ATTA,212.0833333,229.9166667,-17.83333333,
12/1/2025,ATTA,249.0833333,212.0833333,37,
12/2/2025,ATTA,333.75,249.0833333,84.66666667,
12/3/2025,ATTA,293.25,333.75,-40.5,
12/4/2025,ATTA,468.8333333,293.25,175.5833333,
12/5/2025,ATTA,441.75,468.8333333,-27.08333333,
12/6/2025,ATTA,227.9166667,441.75,-213.8333333,
12/7/2025,ATTA,165.5833333,227.9166667,-62.33333333,
12/8/2025,ATTA,233.5,165.5833333,67.91666667,
11/8/2025,BISC_BAK,1030,,,
11/9/2025,BISC_BAK,1264.416667,1030,234.4166667,
11/10/2025,BISC_BAK,960,1264.416667,-304.4166667,
11/11/2025,BISC_BAK,1186.083333,960,226.0833333,
11/12/2025,BISC_BAK,922.5833333,1186.083333,-263.5,
11/13/2025,BISC_BAK,1025.166667,922.5833333,102.5833333,
11/14/2025,BISC_BAK,1499.166667,1025.166667,474,
11/15/2025,BISC_BAK,1087.916667,1499.166667,-411.25,
11/16/2025,BISC_BAK,1110.5,1087.916667,22.58333333,
11/17/2025,BISC_BAK,880.5,1110.5,-230,
11/18/2025,BISC_BAK,1372.75,880.5,492.25,
11/19/2025,BISC_BAK,1581.25,1372.75,208.5,
11/20/2025,BISC_BAK,1370.083333,1581.25,-211.1666667,
11/21/2025,BISC_BAK,1824.833333,1370.083333,454.75,
11/22/2025,BISC_BAK,1752.083333,1824.833333,-72.75,
11/23/2025,BISC_BAK,1293.25,1752.083333,-458.8333333,
11/24/2025,BISC_BAK,1702.083333,1293.25,408.8333333,
11/25/2025,BISC_BAK,1627.083333,1702.083333,-75,
11/26/2025,BISC_BAK,1632.916667,1627.083333,5.833333333,
11/27/2025,BISC_BAK,1149.416667,1632.916667,-483.5,
11/28/2025,BISC_BAK,1503.75,1149.416667,354.3333333,
11/29/2025,BISC_BAK,1478.833333,1503.75,-24.91666667,
11/30/2025,BISC_BAK,1261.083333,1478.833333,-217.75,
12/1/2025,BISC_BAK,1470.166667,1261.083333,209.0833333,
12/2/2025,BISC_BAK,2240.333333,1470.166667,770.1666667,
12/3/2025,BISC_BAK,1491.416667,2240.333333,-748.9166667,
12/4/2025,BISC_BAK,1110.833333,1491.416667,-380.5833333,
12/5/2025,BISC_BAK,1818.333333,1110.833333,707.5,
12/6/2025,BISC_BAK,895.5833333,1818.333333,-922.75,
12/7/2025,BISC_BAK,1310.5,895.5833333,414.9166667,
12/8/2025,BISC_BAK,1694.166667,1310.5,383.6666667,
11/8/2025,CD_CICO,1003.666667,,,
11/9/2025,CD_CICO,766.1666667,1003.666667,-237.5,
11/10/2025,CD_CICO,726.1666667,766.1666667,-40,
11/11/2025,CD_CICO,1334.333333,726.1666667,608.1666667,
11/12/2025,CD_CICO,1252.25,1334.333333,-82.08333333,
11/13/2025,CD_CICO,1238.916667,1252.25,-13.33333333,
11/14/2025,CD_CICO,1341.416667,1238.916667,102.5,
11/15/2025,CD_CICO,716.4166667,1341.416667,-625,
11/16/2025,CD_CICO,988.9166667,716.4166667,272.5,
11/17/2025,CD_CICO,1020.916667,988.9166667,32,
11/18/2025,CD_CICO,1346.5,1020.916667,325.5833333,
11/19/2025,CD_CICO,543,1346.5,-803.5,
11/20/2025,CD_CICO,523.1666667,543,-19.83333333,
11/21/2025,CD_CICO,556.0833333,523.1666667,32.91666667,
11/22/2025,CD_CICO,767.6666667,556.0833333,211.5833333,
11/23/2025,CD_CICO,1144.666667,767.6666667,377,
11/24/2025,CD_CICO,784.75,1144.666667,-359.9166667,
11/25/2025,CD_CICO,1075.5,784.75,290.75,
11/26/2025,CD_CICO,884.6666667,1075.5,-190.8333333,
11/27/2025,CD_CICO,786.6666667,884.6666667,-98,
11/28/2025,CD_CICO,1005.5,786.6666667,218.8333333,
11/29/2025,CD_CICO,1166.333333,1005.5,160.8333333,
11/30/2025,CD_CICO,1427.916667,1166.333333,261.5833333,
12/1/2025,CD_CICO,903.4166667,1427.916667,-524.5,
12/2/2025,CD_CICO,726.0833333,903.4166667,-177.3333333,
12/3/2025,CD_CICO,749.3333333,726.0833333,23.25,
12/4/2025,CD_CICO,911.5833333,749.3333333,162.25,
12/5/2025,CD_CICO,1002.333333,911.5833333,90.75,
12/6/2025,CD_CICO,601.75,1002.333333,-400.5833333,
12/7/2025,CD_CICO,977.75,601.75,376,
12/8/2025,CD_CICO,866,977.75,-111.75,
11/8/2025,CHOCOLATES,866.8333333,,,
11/9/2025,CHOCOLATES,1090.166667,866.8333333,223.3333333,
11/10/2025,CHOCOLATES,920.75,1090.166667,-169.4166667,
11/11/2025,CHOCOLATES,1009.916667,920.75,89.16666667,
11/12/2025,CHOCOLATES,620.1666667,1009.916667,-389.75,
11/13/2025,CHOCOLATES,1041.833333,620.1666667,421.6666667,
11/14/2025,CHOCOLATES,1115.333333,1041.833333,73.5,
11/15/2025,CHOCOLATES,907.75,1115.333333,-207.5833333,
11/16/2025,CHOCOLATES,1212.166667,907.75,304.4166667,
11/17/2025,CHOCOLATES,1080.833333,1212.166667,-131.3333333,
11/18/2025,CHOCOLATES,793.75,1080.833333,-287.0833333,
11/19/2025,CHOCOLATES,1203.833333,793.75,410.0833333,
11/20/2025,CHOCOLATES,1112.416667,1203.833333,-91.41666667,
11/21/2025,CHOCOLATES,1326.916667,1112.416667,214.5,
11/22/2025,CHOCOLATES,1255,1326.916667,-71.91666667,
11/23/2025,CHOCOLATES,1021.083333,1255,-233.9166667,
11/24/2025,CHOCOLATES,1083.666667,1021.083333,62.58333333,
11/25/2025,CHOCOLATES,1063,1083.666667,-20.66666667,
11/26/2025,CHOCOLATES,1106.5,1063,43.5,
11/27/2025,CHOCOLATES,821.6666667,1106.5,-284.8333333,
11/28/2025,CHOCOLATES,1385.25,821.6666667,563.5833333,
11/29/2025,CHOCOLATES,1428.666667,1385.25,43.41666667,
11/30/2025,CHOCOLATES,967.6666667,1428.666667,-461,
12/1/2025,CHOCOLATES,1612.75,967.6666667,645.0833333,
12/2/2025,CHOCOLATES,2075.416667,1612.75,462.6666667,
12/3/2025,CHOCOLATES,1162.333333,2075.416667,-913.0833333,
12/4/2025,CHOCOLATES,1006.416667,1162.333333,-155.9166667,
12/5/2025,CHOCOLATES,1222.333333,1006.416667,215.9166667,
12/6/2025,CHOCOLATES,1091.583333,1222.333333,-130.75,
12/7/2025,CHOCOLATES,1471.833333,1091.583333,380.25,
12/8/2025,CHOCOLATES,1335.416667,1471.833333,-136.4166667,
11/8/2025,CICO_D2,224.4166667,,,
11/9/2025,CICO_D2,691.75,224.4166667,467.3333333,
11/10/2025,CICO_D2,325.3333333,691.75,-366.4166667,
11/11/2025,CICO_D2,314.5,325.3333333,-10.83333333,
11/12/2025,CICO_D2,218.75,314.5,-95.75,
11/13/2025,CICO_D2,194.1666667,218.75,-24.58333333,
11/14/2025,CICO_D2,251.0833333,194.1666667,56.91666667,
11/15/2025,CICO_D2,336,251.0833333,84.91666667,
11/16/2025,CICO_D2,335.3333333,336,-0.666666667,
11/17/2025,CICO_D2,311.4166667,335.3333333,-23.91666667,
11/18/2025,CICO_D2,269,311.4166667,-42.41666667,
11/19/2025,CICO_D2,137.25,269,-131.75,
11/20/2025,CICO_D2,351.6666667,137.25,214.4166667,
11/21/2025,CICO_D2,294.5,351.6666667,-57.16666667,
11/22/2025,CICO_D2,352.6666667,294.5,58.16666667,
11/23/2025,CICO_D2,208,352.6666667,-144.6666667,
11/24/2025,CICO_D2,123.75,208,-84.25,
11/25/2025,CICO_D2,110.4166667,123.75,-13.33333333,
11/26/2025,CICO_D2,127.5,110.4166667,17.08333333,
11/27/2025,CICO_D2,250.6666667,127.5,123.1666667,
11/28/2025,CICO_D2,498.75,250.6666667,248.0833333,
11/29/2025,CICO_D2,269.3333333,498.75,-229.4166667,
11/30/2025,CICO_D2,287.9166667,269.3333333,18.58333333,
12/1/2025,CICO_D2,323.6666667,287.9166667,35.75,
12/2/2025,CICO_D2,180.9166667,323.6666667,-142.75,
12/3/2025,CICO_D2,321,180.9166667,140.0833333,
12/4/2025,CICO_D2,239.4166667,321,-81.58333333,
12/5/2025,CICO_D2,384.0833333,239.4166667,144.6666667,
12/6/2025,CICO_D2,238.8333333,384.0833333,-145.25,
12/7/2025,CICO_D2,299.6666667,238.8333333,60.83333333,
12/8/2025,CICO_D2,201.0833333,299.6666667,-98.58333333,
11/8/2025,CICO_FD,559.25,,,
11/9/2025,CICO_FD,994.4166667,559.25,435.1666667,
11/10/2025,CICO_FD,644,994.4166667,-350.4166667,
11/11/2025,CICO_FD,472,644,-172,
11/12/2025,CICO_FD,508.0833333,472,36.08333333,
11/13/2025,CICO_FD,472.25,508.0833333,-35.83333333,
11/14/2025,CICO_FD,533.75,472.25,61.5,
11/15/2025,CICO_FD,588.8333333,533.75,55.08333333,
11/16/2025,CICO_FD,559.9166667,588.8333333,-28.91666667,
11/17/2025,CICO_FD,619.9166667,559.9166667,60,
11/18/2025,CICO_FD,847.9166667,619.9166667,228,
11/19/2025,CICO_FD,602.3333333,847.9166667,-245.5833333,
11/20/2025,CICO_FD,804.0833333,602.3333333,201.75,
11/21/2025,CICO_FD,680.6666667,804.0833333,-123.4166667,
11/22/2025,CICO_FD,541.0833333,680.6666667,-139.5833333,
11/23/2025,CICO_FD,454.5,541.0833333,-86.58333333,
11/24/2025,CICO_FD,512.8333333,454.5,58.33333333,
11/25/2025,CICO_FD,509.4166667,512.8333333,-3.416666667,
11/26/2025,CICO_FD,516.0833333,509.4166667,6.666666667,
11/27/2025,CICO_FD,619.9166667,516.0833333,103.8333333,
11/28/2025,CICO_FD,693.6666667,619.9166667,73.75,
11/29/2025,CICO_FD,535.0833333,693.6666667,-158.5833333,
11/30/2025,CICO_FD,571.8333333,535.0833333,36.75,
12/1/2025,CICO_FD,533.25,571.8333333,-38.58333333,
12/2/2025,CICO_FD,991.3333333,533.25,458.0833333,
12/3/2025,CICO_FD,439.3333333,991.3333333,-552,
12/4/2025,CICO_FD,369.5,439.3333333,-69.83333333,
12/5/2025,CICO_FD,781.5833333,369.5,412.0833333,
12/6/2025,CICO_FD,322.25,781.5833333,-459.3333333,
12/7/2025,CICO_FD,508.8333333,322.25,186.5833333,
12/8/2025,CICO_FD,327,508.8333333,-181.8333333,
11/8/2025,CICO_G2,1128.666667,,,
11/9/2025,CICO_G2,1165.416667,1128.666667,36.75,
11/10/2025,CICO_G2,1014.25,1165.416667,-151.1666667,
11/11/2025,CICO_G2,1407.833333,1014.25,393.5833333,
11/12/2025,CICO_G2,1060.25,1407.833333,-347.5833333,
11/13/2025,CICO_G2,1226.75,1060.25,166.5,
11/14/2025,CICO_G2,1285.916667,1226.75,59.16666667,
11/15/2025,CICO_G2,1038.75,1285.916667,-247.1666667,
11/16/2025,CICO_G2,976.6666667,1038.75,-62.08333333,
11/17/2025,CICO_G2,1004.25,976.6666667,27.58333333,
11/18/2025,CICO_G2,753.3333333,1004.25,-250.9166667,
11/19/2025,CICO_G2,951.9166667,753.3333333,198.5833333,
11/20/2025,CICO_G2,1431.25,951.9166667,479.3333333,
11/21/2025,CICO_G2,798.6666667,1431.25,-632.5833333,
11/22/2025,CICO_G2,824.0833333,798.6666667,25.41666667,
11/23/2025,CICO_G2,1144.666667,824.0833333,320.5833333,
11/24/2025,CICO_G2,1296.083333,1144.666667,151.4166667,
11/25/2025,CICO_G2,934.25,1296.083333,-361.8333333,
11/26/2025,CICO_G2,1024.833333,934.25,90.58333333,
11/27/2025,CICO_G2,548.6666667,1024.833333,-476.1666667,
11/28/2025,CICO_G2,683.75,548.6666667,135.0833333,
11/29/2025,CICO_G2,911.25,683.75,227.5,
11/30/2025,CICO_G2,1114.083333,911.25,202.8333333,
12/1/2025,CICO_G2,900.3333333,1114.083333,-213.75,
12/2/2025,CICO_G2,539.6666667,900.3333333,-360.6666667,
12/3/2025,CICO_G2,757,539.6666667,217.3333333,
12/4/2025,CICO_G2,589.8333333,757,-167.1666667,
12/5/2025,CICO_G2,906.6666667,589.8333333,316.8333333,
12/6/2025,CICO_G2,707,906.6666667,-199.6666667,
12/7/2025,CICO_G2,940.6666667,707,233.6666667,
12/8/2025,CICO_G2,671.5833333,940.6666667,-269.0833333,
11/8/2025,CICO_OIL,259.3333333,,,
11/9/2025,CICO_OIL,139,259.3333333,-120.3333333,
11/10/2025,CICO_OIL,131.1666667,139,-7.833333333,
11/11/2025,CICO_OIL,116.75,131.1666667,-14.41666667,
11/12/2025,CICO_OIL,103,116.75,-13.75,
11/13/2025,CICO_OIL,221.25,103,118.25,
11/14/2025,CICO_OIL,188.1666667,221.25,-33.08333333,
11/15/2025,CICO_OIL,208.5,188.1666667,20.33333333,
11/16/2025,CICO_OIL,205.25,208.5,-3.25,
11/17/2025,CICO_OIL,226.5,205.25,21.25,
11/18/2025,CICO_OIL,154.1666667,226.5,-72.33333333,
11/19/2025,CICO_OIL,191.9166667,154.1666667,37.75,
11/20/2025,CICO_OIL,210.5833333,191.9166667,18.66666667,
11/21/2025,CICO_OIL,197.75,210.5833333,-12.83333333,
11/22/2025,CICO_OIL,137.8333333,197.75,-59.91666667,
11/23/2025,CICO_OIL,201.6666667,137.8333333,63.83333333,
11/24/2025,CICO_OIL,226.8333333,201.6666667,25.16666667,
11/25/2025,CICO_OIL,220.8333333,226.8333333,-6,
11/26/2025,CICO_OIL,124.4166667,220.8333333,-96.41666667,
11/27/2025,CICO_OIL,163,124.4166667,38.58333333,
11/28/2025,CICO_OIL,245.5833333,163,82.58333333,
11/29/2025,CICO_OIL,230.9166667,245.5833333,-14.66666667,
11/30/2025,CICO_OIL,289.25,230.9166667,58.33333333,
12/1/2025,CICO_OIL,167.4166667,289.25,-121.8333333,
12/2/2025,CICO_OIL,436.6666667,167.4166667,269.25,
12/3/2025,CICO_OIL,262.9166667,436.6666667,-173.75,
12/4/2025,CICO_OIL,448,262.9166667,185.0833333,
12/5/2025,CICO_OIL,572.0833333,448,124.0833333,
12/6/2025,CICO_OIL,265,572.0833333,-307.0833333,
12/7/2025,CICO_OIL,249,265,-16,
12/8/2025,CICO_OIL,266.8333333,249,17.83333333,
11/8/2025,combo_1,93.41666667,,,
11/9/2025,combo_1,98.41666667,93.41666667,5,
11/10/2025,combo_1,91.83333333,98.41666667,-6.583333333,
11/11/2025,combo_1,92.91666667,91.83333333,1.083333333,
11/12/2025,combo_1,66.41666667,92.91666667,-26.5,
11/13/2025,combo_1,90.08333333,66.41666667,23.66666667,
11/14/2025,combo_1,82,90.08333333,-8.083333333,
11/15/2025,combo_1,103.6666667,82,21.66666667,
11/16/2025,combo_1,97.33333333,103.6666667,-6.333333333,
11/17/2025,combo_1,73.66666667,97.33333333,-23.66666667,
11/18/2025,combo_1,107.75,73.66666667,34.08333333,
11/19/2025,combo_1,80.66666667,107.75,-27.08333333,
11/20/2025,combo_1,72.08333333,80.66666667,-8.583333333,
11/21/2025,combo_1,144.5833333,72.08333333,72.5,
11/22/2025,combo_1,108.3333333,144.5833333,-36.25,
11/23/2025,combo_1,93.33333333,108.3333333,-15,
11/24/2025,combo_1,124.6666667,93.33333333,31.33333333,
11/25/2025,combo_1,114.0833333,124.6666667,-10.58333333,
11/26/2025,combo_1,105.3333333,114.0833333,-8.75,
11/27/2025,combo_1,49.5,105.3333333,-55.83333333,
11/28/2025,combo_1,98.75,49.5,49.25,
11/29/2025,combo_1,103.6666667,98.75,4.916666667,
11/30/2025,combo_1,114.75,103.6666667,11.08333333,
12/1/2025,combo_1,106.9166667,114.75,-7.833333333,
12/2/2025,combo_1,80.08333333,106.9166667,-26.83333333,
12/3/2025,combo_1,98.16666667,80.08333333,18.08333333,
12/4/2025,combo_1,109.5833333,98.16666667,11.41666667,
12/5/2025,combo_1,89,109.5833333,-20.58333333,
12/6/2025,combo_1,82.08333333,89,-6.916666667,
12/7/2025,combo_1,124.5833333,82.08333333,42.5,
12/8/2025,combo_1,111,124.5833333,-13.58333333,
11/8/2025,combo_10,46.58333333,,,
11/9/2025,combo_10,94.33333333,46.58333333,47.75,
11/10/2025,combo_10,46.91666667,94.33333333,-47.41666667,
11/11/2025,combo_10,19.58333333,46.91666667,-27.33333333,
11/12/2025,combo_10,17.83333333,19.58333333,-1.75,
11/13/2025,combo_10,49.91666667,17.83333333,32.08333333,
11/14/2025,combo_10,81.83333333,49.91666667,31.91666667,
11/15/2025,combo_10,17.5,81.83333333,-64.33333333,
11/16/2025,combo_10,15.66666667,17.5,-1.833333333,
11/17/2025,combo_10,95.83333333,15.66666667,80.16666667,
11/18/2025,combo_10,22.66666667,95.83333333,-73.16666667,
11/19/2025,combo_10,43.66666667,22.66666667,21,
11/20/2025,combo_10,30.16666667,43.66666667,-13.5,
11/21/2025,combo_10,24.91666667,30.16666667,-5.25,
11/22/2025,combo_10,29.91666667,24.91666667,5,
11/23/2025,combo_10,7.25,29.91666667,-22.66666667,
11/24/2025,combo_10,8.416666667,7.25,1.166666667,
11/25/2025,combo_10,7.666666667,8.416666667,-0.75,
11/26/2025,combo_10,17.83333333,7.666666667,10.16666667,
11/27/2025,combo_10,3,17.83333333,-14.83333333,
11/28/2025,combo_10,33,3,30,
11/29/2025,combo_10,7.333333333,33,-25.66666667,
11/30/2025,combo_10,19.58333333,7.333333333,12.25,
12/1/2025,combo_10,100.25,19.58333333,80.66666667,
12/2/2025,combo_10,47,100.25,-53.25,
12/3/2025,combo_10,16.83333333,47,-30.16666667,
12/4/2025,combo_10,37,16.83333333,20.16666667,
12/5/2025,combo_10,175.5,37,138.5,
12/6/2025,combo_10,286.6666667,175.5,111.1666667,
12/7/2025,combo_10,363.5,286.6666667,76.83333333,
12/8/2025,combo_10,377.5833333,363.5,14.08333333,
11/8/2025,combo_11,2214.5,,,
11/9/2025,combo_11,2861.916667,2214.5,647.4166667,
11/10/2025,combo_11,2704.333333,2861.916667,-157.5833333,
11/11/2025,combo_11,3039.5,2704.333333,335.1666667,
11/12/2025,combo_11,2026.75,3039.5,-1012.75,
11/13/2025,combo_11,3510.666667,2026.75,1483.916667,
11/14/2025,combo_11,2365,3510.666667,-1145.666667,
11/15/2025,combo_11,1962.833333,2365,-402.1666667,
11/16/2025,combo_11,2496.333333,1962.833333,533.5,
11/17/2025,combo_11,2122.583333,2496.333333,-373.75,
11/18/2025,combo_11,2532.25,2122.583333,409.6666667,
11/19/2025,combo_11,2125.916667,2532.25,-406.3333333,
11/20/2025,combo_11,3342,2125.916667,1216.083333,
11/21/2025,combo_11,2993.5,3342,-348.5,
11/22/2025,combo_11,2259.583333,2993.5,-733.9166667,
11/23/2025,combo_11,2084,2259.583333,-175.5833333,
11/24/2025,combo_11,2047.166667,2084,-36.83333333,
11/25/2025,combo_11,2188.833333,2047.166667,141.6666667,
11/26/2025,combo_11,1991.75,2188.833333,-197.0833333,
11/27/2025,combo_11,1952.166667,1991.75,-39.58333333,
11/28/2025,combo_11,2621.75,1952.166667,669.5833333,
11/29/2025,combo_11,2254.583333,2621.75,-367.1666667,
11/30/2025,combo_11,2201.166667,2254.583333,-53.41666667,
12/1/2025,combo_11,2645.833333,2201.166667,444.6666667,
12/2/2025,combo_11,1814.5,2645.833333,-831.3333333,
12/3/2025,combo_11,2384.583333,1814.5,570.0833333,
12/4/2025,combo_11,2415.416667,2384.583333,30.83333333,
12/5/2025,combo_11,3527.25,2415.416667,1111.833333,
12/6/2025,combo_11,2997.083333,3527.25,-530.1666667,
12/7/2025,combo_11,3034,2997.083333,36.91666667,
12/8/2025,combo_11,2781.25,3034,-252.75,
11/8/2025,combo_2,845.75,,,
11/9/2025,combo_2,989.6666667,845.75,143.9166667,
11/10/2025,combo_2,737.25,989.6666667,-252.4166667,
11/11/2025,combo_2,925.0833333,737.25,187.8333333,
11/12/2025,combo_2,746.3333333,925.0833333,-178.75,
11/13/2025,combo_2,665.75,746.3333333,-80.58333333,
11/14/2025,combo_2,754.5833333,665.75,88.83333333,
11/15/2025,combo_2,717,754.5833333,-37.58333333,
11/16/2025,combo_2,847.4166667,717,130.4166667,
11/17/2025,combo_2,726.75,847.4166667,-120.6666667,
11/18/2025,combo_2,743.8333333,726.75,17.08333333,
11/19/2025,combo_2,928.75,743.8333333,184.9166667,
11/20/2025,combo_2,938.75,928.75,10,
11/21/2025,combo_2,866.3333333,938.75,-72.41666667,
11/22/2025,combo_2,998.8333333,866.3333333,132.5,
11/23/2025,combo_2,758.6666667,998.8333333,-240.1666667,
11/24/2025,combo_2,722.5833333,758.6666667,-36.08333333,
11/25/2025,combo_2,564.4166667,722.5833333,-158.1666667,
11/26/2025,combo_2,557,564.4166667,-7.416666667,
11/27/2025,combo_2,517.75,557,-39.25,
11/28/2025,combo_2,754.0833333,517.75,236.3333333,
11/29/2025,combo_2,724.5,754.0833333,-29.58333333,
11/30/2025,combo_2,608.6666667,724.5,-115.8333333,
12/1/2025,combo_2,815,608.6666667,206.3333333,
12/2/2025,combo_2,441,815,-374,
12/3/2025,combo_2,553.9166667,441,112.9166667,
12/4/2025,combo_2,905.4166667,553.9166667,351.5,
12/5/2025,combo_2,921,905.4166667,15.58333333,
12/6/2025,combo_2,460.5,921,-460.5,
12/7/2025,combo_2,649.5833333,460.5,189.0833333,
12/8/2025,combo_2,901.6666667,649.5833333,252.0833333,
11/8/2025,combo_3,344.5833333,,,
11/9/2025,combo_3,279.9166667,344.5833333,-64.66666667,
11/10/2025,combo_3,245.25,279.9166667,-34.66666667,
11/11/2025,combo_3,253.8333333,245.25,8.583333333,
11/12/2025,combo_3,206.3333333,253.8333333,-47.5,
