order_id,priority_num,predicted_high_risk_probability,order_completion_minutes,total_volume_cm3,total_weight_kg,high_risk,probability_bin,volume_bucket,weight_bucket,probability_bin_order
BLR_128475,2,0.0007011660213976003,187.28321062030258,328426.431524,45.744350000000004,False,0.0-0.1,200k-500k,20-50,0
BLR_128476,2,0.002579192304154168,249.54715883426925,1100861.910581,259.89662,False,0.0-0.1,>500k,>50,0
BLR_128478,5,0.8865636179673535,652.5970730834745,1464471.53063,321.2066609677419,True,0.8-0.9,>500k,>50,8
BLR_128479,2,0.0022864529891480044,263.65208679429236,999008.6762910001,229.237405,False,0.0-0.1,>500k,>50,0
BLR_128480,3,0.024298699912485053,441.54634250309124,996865.268107,322.5415732258065,False,0.0-0.1,>500k,>50,0
BLR_128481,3,0.02046877258877418,344.88521264728513,813716.6656770848,190.8300506451613,False,0.0-0.1,>500k,>50,0
BLR_128482,1,1.2888679246605779e-05,45.692867320822806,0.283024,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_128483,1,0.0008236590502370049,174.62868206298145,1842793.87335,419.0144329032258,False,0.0-0.1,>500k,>50,0
BLR_128485,2,0.00020843122611183452,203.78878648825864,19268.250048,1.3402,False,0.0-0.1,<=50k,<=5,0
BLR_128486,5,0.6974997665725974,545.386055538603,667551.320032,160.03894,False,0.6-0.7,>500k,>50,6
BLR_128487,5,0.7403828713191972,520.6133566586417,795058.8556370045,230.5643695483871,False,0.7-0.8,>500k,>50,7
BLR_128488,1,0.00017834399927353845,133.2482940942828,1073781.595105,228.40215,False,0.0-0.1,>500k,>50,0
BLR_128489,5,0.8368284036327442,533.9796170505194,1216359.95426,328.53194451612904,False,0.8-0.9,>500k,>50,8
BLR_128490,3,0.022688172153930538,349.2450233301298,981905.3137010554,301.8600088387097,False,0.0-0.1,>500k,>50,0
BLR_128491,1,0.00011388843747744707,134.3434833122502,717041.19203,200.7865448387097,False,0.0-0.1,>500k,>50,0
BLR_128492,3,0.02386794874683396,406.97501516434556,868835.8365676389,225.083876,False,0.0-0.1,>500k,>50,0
BLR_128493,2,0.008468392840053327,363.5084977832435,1871105.8328129998,501.36771999999996,False,0.0-0.1,>500k,>50,0
BLR_128494,3,0.03190574038603249,426.3871349427735,1080816.365211,288.71293258064514,False,0.0-0.1,>500k,>50,0
BLR_128495,5,0.8873021585716615,616.2937522077061,1342209.899129,397.13842258064517,False,0.8-0.9,>500k,>50,8
BLR_128497,1,0.0005531835457939837,181.16278282102388,1564198.730683,321.7973970967742,False,0.0-0.1,>500k,>50,0
BLR_128498,2,0.0009367969397023807,258.6083419149894,526772.886058,148.92902,False,0.0-0.1,>500k,>50,0
BLR_128499,5,0.632245268854729,570.7373633045531,579332.9288396,160.1389806451613,False,0.6-0.7,>500k,>50,6
BLR_128500,2,0.011138406074160652,360.07252905642935,1758765.135662,458.1963359354839,False,0.0-0.1,>500k,>50,0
BLR_128501,2,0.003981181441968513,338.5661232210201,1204900.094505239,282.918646,False,0.0-0.1,>500k,>50,0
BLR_128505,3,0.03461107466092476,409.90013901184767,1222321.469678,338.87495,False,0.0-0.1,>500k,>50,0
BLR_128506,9,0.9999928363183259,712.0075017894816,1380167.7645410001,285.73675000000003,True,0.9-1.0,>500k,>50,9
BLR_128507,5,0.9788263903408244,640.1585562423323,2116620.047958,598.1959106451613,True,0.9-1.0,>500k,>50,9
BLR_128509,4,0.2705189410662864,561.8413369709605,1183160.7241104,335.89133129032257,False,0.2-0.3,>500k,>50,2
BLR_128510,4,0.20219168545516272,509.1035776982177,801974.12794,221.9729416129032,False,0.2-0.3,>500k,>50,2
BLR_128684,5,0.5879875215803276,637.8731511448902,404044.042493,84.64883064516128,False,0.5-0.6,200k-500k,>50,5
BLR_128685,5,0.45134119545180756,639.4588922172841,293575.377,40.06694,False,0.4-0.5,200k-500k,20-50,4
BLR_128686,1,5.4184032741362046e-05,146.6019868322855,358584.963412,79.27852,False,0.0-0.1,200k-500k,>50,0
BLR_128687,1,0.00019424197158620182,163.20165640367543,1002274.189835,252.02659,False,0.0-0.1,>500k,>50,0
BLR_128688,2,0.24305121931425602,510.3560052823433,3667611.8335403,827.156796,False,0.2-0.3,>500k,>50,2
BLR_128689,2,0.00015377476368012553,303.88665442777517,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_128690,9,0.9999952393003737,785.9785676007431,1276016.318815,281.9977648387097,True,0.9-1.0,>500k,>50,9
BLR_128691,1,0.0006097668071796106,133.46021536325406,1686862.2352316,287.226475,False,0.0-0.1,>500k,>50,0
BLR_128693,2,0.0035381244694290435,323.58357595566366,1200528.2831008001,242.51416,False,0.0-0.1,>500k,>50,0
BLR_128694,2,0.003985569336909785,248.14223108926143,1166462.979505,267.263584516129,False,0.0-0.1,>500k,>50,0
BLR_128696,2,0.0014745184490114103,239.2721478668976,788593.9699066001,181.90406,False,0.0-0.1,>500k,>50,0
BLR_128698,2,0.01030781693971358,314.8804518859922,1719542.386813,459.45298225806454,False,0.0-0.1,>500k,>50,0
BLR_128700,3,0.05066567373090867,503.5840066229068,1378401.5264546,369.02012580645163,False,0.0-0.1,>500k,>50,0
BLR_128701,1,0.006111334444428716,240.67176005404286,2678513.3658122,654.71973,False,0.0-0.1,>500k,>50,0
BLR_128702,2,0.003241151772972466,321.483414266959,1150710.5926970001,337.569014516129,False,0.0-0.1,>500k,>50,0
BLR_128703,1,8.49735520250056e-05,59.98799773915536,552041.355192,78.2109,False,0.0-0.1,>500k,>50,0
BLR_128705,1,0.00010575435685463818,90.71670078313592,687537.9250667,114.03532,False,0.0-0.1,>500k,>50,0
BLR_128706,1,0.00020227296309664045,115.29165865840353,1023091.1737278,215.14676,False,0.0-0.1,>500k,>50,0
BLR_128708,3,0.026181195757687965,419.1244472254578,836334.648528,212.78168,False,0.0-0.1,>500k,>50,0
BLR_128709,2,0.0038973493669049787,316.15694526202736,1224957.5114866,233.8938295483871,False,0.0-0.1,>500k,>50,0
BLR_128710,3,0.02918279702372373,414.42759602355983,972674.670891239,208.74077051612903,False,0.0-0.1,>500k,>50,0
BLR_128711,2,0.0025214872885132205,333.5887867961527,1019011.657385,264.3727212903226,False,0.0-0.1,>500k,>50,0
BLR_128712,2,0.005063107497063002,354.84619588447043,1340739.6316471999,309.27216,False,0.0-0.1,>500k,>50,0
BLR_128713,3,0.0018310240848813813,348.81665672090986,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_128714,1,6.397586264369921e-05,104.25412782884774,398730.103628,49.9647,False,0.0-0.1,200k-500k,20-50,0
BLR_128715,2,0.007411523406806236,385.6964355457733,1550222.1098506,365.03165,False,0.0-0.1,>500k,>50,0
BLR_128716,3,0.11777879499567381,477.17045682213825,1939698.7487438,449.62666,False,0.1-0.2,>500k,>50,1
BLR_128717,3,0.02659733604763647,446.67240531865525,877568.6600800001,215.149145,False,0.0-0.1,>500k,>50,0
BLR_128718,5,0.8587899601503323,761.2054544638362,1112868.689928639,275.443426,True,0.8-0.9,>500k,>50,8
BLR_128719,1,0.0028805966075997023,274.6282798259366,2234382.2624336556,511.636224,False,0.0-0.1,>500k,>50,0
BLR_128720,3,0.0263547407486292,468.09592387862176,969256.8510800045,254.93989341935486,False,0.0-0.1,>500k,>50,0
BLR_128721,5,0.9991746077009497,821.5104375751985,4607401.3993882295,1141.8637306451612,True,0.9-1.0,>500k,>50,9
BLR_128722,3,0.05898492710330015,562.8894719362765,1382111.4033686388,322.40182412903226,False,0.0-0.1,>500k,>50,0
BLR_128723,5,0.9473634227248621,702.8104304117411,1983853.8415440044,512.6708030967742,True,0.9-1.0,>500k,>50,9
BLR_128724,3,0.2836655563674889,578.4553943417478,2605036.1412146846,581.8755663870968,False,0.2-0.3,>500k,>50,2
BLR_128725,5,0.4645848214766254,650.1555155563053,242776.8663696,98.89044,False,0.4-0.5,200k-500k,>50,4
BLR_128726,5,0.4349021649754789,605.7950842498556,533229.20372,56.76867,False,0.4-0.5,>500k,>50,4
BLR_128727,2,0.0003007281785173929,347.78108754827156,315032.647128,59.128479999999996,False,0.0-0.1,200k-500k,>50,0
BLR_128729,5,0.6613396588131043,613.0401293944473,846101.305886,158.5868712903226,False,0.6-0.7,>500k,>50,6
BLR_128732,3,0.0344829672818916,536.6694863043078,1138591.4392968,335.598529516129,False,0.0-0.1,>500k,>50,0
BLR_128733,3,0.021434178237578483,519.8422016585579,843416.7402166,193.44308,False,0.0-0.1,>500k,>50,0
BLR_128736,5,0.6482909215803319,665.2884631923612,808276.7266708044,179.30768051612904,False,0.6-0.7,>500k,>50,6
BLR_128737,3,0.01806479080147606,552.1821518854505,1163951.159511,363.5964822580645,False,0.0-0.1,>500k,>50,0
BLR_128738,5,0.5413397380134238,611.1701041945332,749905.5275650113,212.291994,False,0.5-0.6,>500k,>50,5
BLR_128739,3,0.030150241150282857,559.1130510084869,992647.446833,253.50825870967742,False,0.0-0.1,>500k,>50,0
BLR_128740,5,0.6761149615780616,635.8805219202968,710437.648943,156.48606451612903,False,0.6-0.7,>500k,>50,6
BLR_128741,5,0.417742233122367,690.2790614093482,305390.8137932,63.15429999999999,True,0.4-0.5,200k-500k,>50,4
BLR_128742,1,6.911410414236937e-05,143.1402876658157,732972.425680956,193.16975,False,0.0-0.1,>500k,>50,0
BLR_128743,5,0.520053375621028,687.3778039791163,729853.9039771999,121.08207,False,0.5-0.6,>500k,>50,5
BLR_128744,2,0.0021853815673539205,358.98620162604465,840634.360104,139.28852,False,0.0-0.1,>500k,>50,0
BLR_128745,5,0.8952493369462915,691.1458883237307,1396966.7206294045,371.3197630967742,True,0.8-0.9,>500k,>50,8
BLR_128746,1,0.0004892569369081547,214.9843622423555,1539393.7152168,382.22875967741936,False,0.0-0.1,>500k,>50,0
BLR_128747,5,0.7164615971989945,671.2107500714785,777478.599105,200.3115558064516,False,0.7-0.8,>500k,>50,7
BLR_128748,1,2.2238167458243347e-05,153.73923655160937,222950.375146,34.19153225806452,False,0.0-0.1,200k-500k,20-50,0
BLR_128749,4,0.3643263692101445,596.0539184246619,1257475.138869,389.2371616129032,False,0.3-0.4,>500k,>50,3
BLR_128750,4,0.0905801680771746,625.6755180586503,523260.356978,133.034,False,0.0-0.1,>500k,>50,0
BLR_129298,5,0.7483206790040303,516.9235475321727,833168.2717776,132.41669,True,0.7-0.8,>500k,>50,7
BLR_129299,3,0.0018306032844954264,393.30672105043635,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_129300,1,0.000160891602029425,137.33572226124514,876266.1553322,199.4461,False,0.0-0.1,>500k,>50,0
BLR_129301,3,0.0018306032844954264,393.2961683252172,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_129302,2,0.0001537393642625239,226.4743418420998,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_129303,1,0.0008087852319583529,186.35882535531837,1629154.9634826,351.44652096774195,False,0.0-0.1,>500k,>50,0
BLR_129304,5,0.46085736111894016,482.02432018994375,261165.448,57.466300000000004,False,0.4-0.5,200k-500k,>50,4
BLR_129305,5,0.20695052656779395,454.7399213957851,115.5,0.001,False,0.2-0.3,<=50k,<=5,2
BLR_129306,5,0.2068816079789654,455.23211082837827,471.339936,0.54,False,0.2-0.3,<=50k,<=5,2
BLR_129307,1,1.2891638618707765e-05,0.6929146403332734,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_129308,2,0.0011176374907698589,238.16766175779318,578174.97196,113.21397,False,0.0-0.1,>500k,>50,0
BLR_129310,3,0.18437687730189237,420.244409048362,1973348.574617,450.17929,False,0.1-0.2,>500k,>50,1
BLR_129311,3,0.025679613149700554,334.7010926423352,933123.873565,211.49275516129032,False,0.0-0.1,>500k,>50,0
BLR_129312,3,0.0018306032844954264,267.0010320395413,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_129313,3,0.14916511134384472,385.5418220678023,2085410.953893839,523.1284196129033,False,0.1-0.2,>500k,>50,1
BLR_129314,5,0.20687495367966868,454.3502460021944,115.5,0.001,False,0.2-0.3,<=50k,<=5,2
BLR_129315,1,0.00030269819116973993,105.66792705222545,1416602.486023,366.45775270967744,False,0.0-0.1,>500k,>50,0
